iter	Passed	Remaining
0	66	66240
1	72	35977
2	76	25392
3	81	20185
4	85	16994
5	90	14955
6	94	13430
7	100	12450
8	104	11546
9	109	10798
10	113	10215
11	117	9691
12	122	9333
13	127	8973
14	131	8665
15	136	8409
16	141	8202
17	146	8017
18	152	7876
19	156	7692
20	160	7460
21	166	7396
22	172	7331
23	178	7249
24	184	7180
25	190	7127
26	195	7052
27	199	6914
28	205	6869
29	211	6824
30	216	6762
31	222	6735
32	228	6707
33	235	6683
34	245	6760
35	275	7381
36	281	7320
37	287	7280
38	292	7207
39	297	7147
40	303	7087
41	308	7030
42	314	7009
43	322	7001
44	327	6950
45	332	6900
46	339	6881
47	345	6858
48	352	6848
49	356	6771
50	361	6719
51	365	6662
52	371	6644
53	376	6596
54	380	6537
55	383	6471
56	389	6442
57	395	6419
58	400	6385
59	406	6361
60	410	6326
61	415	6281
62	422	6276
63	425	6219
64	430	6188
65	435	6159
66	440	6138
67	445	6101
68	450	6080
69	456	6069
70	462	6051
71	467	6024
72	472	5999
73	477	5979
74	484	5972
75	489	5954
76	494	5931
77	500	5912
78	505	5898
79	510	5875
80	517	5869
81	522	5844
82	527	5828
83	532	5809
84	537	5784
85	542	5762
86	547	5749
87	553	5731
88	558	5717
89	564	5703
90	569	5683
91	574	5673
92	578	5638
93	581	5600
94	586	5586
95	591	5568
96	596	5549
97	605	5570
98	611	5569
99	617	5554
100	622	5541
101	627	5527
102	632	5506
103	637	5491
104	640	5462
105	645	5443
106	651	5433
107	656	5419
108	660	5400
109	664	5379
110	670	5370
111	675	5352
112	679	5335
113	684	5320
114	689	5303
115	694	5293
116	700	5283
117	705	5272
118	710	5260
119	717	5258
120	722	5251
121	728	5239
122	732	5221
123	738	5215
124	743	5204
125	749	5195
126	754	5186
127	759	5174
128	764	5163
129	767	5138
130	773	5128
131	778	5118
132	783	5110
133	789	5103
134	795	5098
135	801	5090
136	808	5090
137	811	5071
138	818	5071
139	821	5048
140	828	5046
141	833	5038
142	838	5027
143	843	5016
144	849	5008
145	855	5003
146	860	4994
147	863	4969
148	868	4960
149	873	4950
150	879	4943
151	881	4920
152	886	4906
153	891	4894
154	896	4889
155	902	4882
156	907	4872
157	912	4862
158	920	4868
159	922	4843
160	928	4839
161	934	4832
162	939	4825
163	944	4813
164	951	4812
165	955	4802
166	959	4787
167	966	4784
168	968	4762
169	971	4743
170	975	4730
171	984	4737
172	989	4731
173	994	4721
174	1000	4718
175	1006	4710
176	1010	4700
177	1016	4695
178	1021	4687
179	1026	4677
180	1032	4670
181	1038	4665
182	1043	4658
183	1049	4653
184	1055	4650
185	1061	4644
186	1067	4642
187	1070	4622
188	1075	4614
189	1081	4612
190	1087	4606
191	1094	4607
192	1101	4606
193	1107	4599
194	1113	4596
195	1118	4589
196	1125	4587
197	1128	4572
198	1135	4570
199	1142	4568
200	1150	4572
201	1155	4565
202	1161	4559
203	1167	4555
204	1173	4551
205	1179	4544
206	1184	4537
207	1190	4531
208	1195	4526
209	1204	4529
210	1210	4526
211	1218	4528
212	1227	4534
213	1235	4536
214	1250	4564
215	1259	4570
216	1266	4569
217	1274	4572
218	1283	4576
219	1290	4576
220	1299	4579
221	1307	4582
222	1314	4580
223	1320	4573
224	1325	4565
225	1332	4563
226	1339	4560
227	1349	4570
228	1354	4561
229	1361	4557
230	1366	4549
231	1371	4541
232	1376	4531
233	1381	4523
234	1386	4512
235	1391	4503
236	1396	4495
237	1401	4486
238	1406	4479
239	1412	4471
240	1417	4464
241	1422	4455
242	1427	4447
243	1432	4439
244	1437	4430
245	1443	4424
246	1449	4417
247	1456	4415
248	1460	4406
249	1465	4397
250	1472	4394
251	1480	4393
252	1485	4386
253	1489	4374
254	1494	4365
255	1498	4356
256	1502	4344
257	1507	4334
258	1510	4320
259	1516	4315
260	1520	4305
261	1525	4295
262	1530	4287
263	1535	4279
264	1539	4271
265	1546	4266
266	1551	4258
267	1554	4246
268	1559	4238
269	1564	4230
270	1569	4221
271	1574	4214
272	1579	4207
273	1584	4199
274	1588	4187
275	1593	4180
276	1596	4167
277	1601	4159
278	1605	4150
279	1610	4142
280	1614	4132
281	1618	4120
282	1623	4114
283	1628	4105
284	1634	4101
285	1639	4094
286	1645	4087
287	1650	4079
288	1656	4074
289	1662	4069
290	1666	4061
291	1671	4053
292	1677	4047
293	1682	4039
294	1687	4032
295	1691	4022
296	1696	4015
297	1700	4006
298	1706	4000
299	1710	3991
300	1715	3984
301	1720	3976
302	1726	3971
303	1732	3965
304	1736	3957
305	1741	3949
306	1746	3942
307	1751	3936
308	1756	3927
309	1759	3916
310	1764	3909
311	1769	3901
312	1774	3894
313	1779	3887
314	1784	3881
315	1789	3873
316	1795	3867
317	1800	3861
318	1805	3855
319	1811	3848
320	1816	3843
321	1821	3834
322	1826	3827
323	1832	3822
324	1836	3815
325	1841	3807
326	1846	3800
327	1851	3793
328	1856	3786
329	1863	3782
